Id,Order,Problem,Trial,High,Phigh,Low,Medium,risky_side,side,Choice,Payoff,total_points
32.0,1.0,26.0,1,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-4.9
32.0,1.0,26.0,2,6.4,0.05,-5.3,-4.9,right,right,1,-5.3,-10.2
32.0,1.0,26.0,3,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-15.1
32.0,1.0,26.0,4,6.4,0.05,-5.3,-4.9,right,right,1,-5.3,-20.4
32.0,1.0,26.0,5,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-25.299999999999997
32.0,1.0,26.0,6,6.4,0.05,-5.3,-4.9,right,right,1,-5.3,-30.599999999999998
32.0,1.0,26.0,7,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-35.5
32.0,1.0,26.0,8,6.4,0.05,-5.3,-4.9,right,right,1,-5.3,-40.8
32.0,1.0,26.0,9,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-45.699999999999996
32.0,1.0,26.0,10,6.4,0.05,-5.3,-4.9,right,right,1,-5.3,-50.99999999999999
32.0,1.0,26.0,11,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-55.89999999999999
32.0,1.0,26.0,12,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-60.79999999999999
32.0,1.0,26.0,13,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-65.69999999999999
32.0,1.0,26.0,14,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-70.6
32.0,1.0,26.0,15,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-75.5
32.0,1.0,26.0,16,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-80.4
32.0,1.0,26.0,17,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-85.30000000000001
32.0,1.0,26.0,18,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-90.20000000000002
32.0,1.0,26.0,19,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-95.10000000000002
32.0,1.0,26.0,20,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-100.00000000000003
32.0,1.0,26.0,21,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-104.90000000000003
32.0,1.0,26.0,22,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-109.80000000000004
32.0,1.0,26.0,23,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-114.70000000000005
32.0,1.0,26.0,24,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-119.60000000000005
32.0,1.0,26.0,25,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-124.50000000000006
32.0,1.0,26.0,26,6.4,0.05,-5.3,-4.9,right,left,0,-4.9,-129.40000000000006
